,,,,,,,,,,,,
Project,: Giveaway KPop,,,,,,,,,,,
Period,: August 2023,,,,,,,,,,,
Total Influencer,: 8 Instagram,,,,,,,,,,,
Output,: Instagram Feed Photo & Story,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Instagram,,,,,,,,,,,,
No.,Name,Username,Followers,Content Type,Day Post,Time Post,Reach,Impressions,Engagement,,,
1,Kpopers Indo,https://www.instagram.com/k_popersindo/,"897,422",Giveaway,Thursday,15:51,"60,399","61,557","2,204",,,
2,Panncafe,https://www.instagram.com/panncafe/,"714,846",Giveaway,Thursday,12:56,"66,564","74,928","1,104",,,
3,Basecamp Kpopers,https://www.instagram.com/basecamp_kpopers/,"241,320",Giveaway,Monday,15:52,"16,509","19,045","1,545",,,
4,Info Bts Ina,https://www.instagram.com/infobts.ina2/,"224,832",Giveaway,Thursday,13:32,"23,710","29,290","4,478",,,
5,Serba Serbi Kpop,https://www.instagram.com/serbaserbikpop/,"213,910",Giveaway,Monday,14:24,"10,104","11,546",628,,,
6,Kfact ID,https://www.instagram.com/kfact.id/,"119,924",Giveaway,Wednesday,22:11,"4,039","4,327",295,,,
7,Fakta Kpop,https://www.instagram.com/faktakpop/,"117,009",Giveaway,Monday,15:41,"1,005","1,081",86,,,
8,Kfeeds ID,https://www.instagram.com/kfeedsid/,"102,163",Giveaway,Monday,15:00,"72,675","77,207","2,707",,,
Total,,,"2,631,426",,,,"255,005","278,981","13,047",,,
,,,,,,,,,,,,
No.,Name,Username,Followers,Content Type,Day Post,Time Post,Reach,,Impressions,,Engagement,
,,,,,,,Story 1,Story 2,Story 1,Story 2,Story 1,Story 2
1,Kpopers Indo,https://www.instagram.com/k_popersindo/,"897,422",Giveaway,Friday,20:41,"1,680","1,026","1,680","1,041",1,1
2,Panncafe,https://www.instagram.com/panncafe/,"714,846",Giveaway,Friday,15:22,"28,749","9,157","30,202","9,432",4,2
3,Basecamp Kpopers,https://www.instagram.com/basecamp_kpopers/,"241,320",Giveaway,Tuesday,17:13,"1,668","1,145","1,704","1,193",-,-
4,Info Bts Ina,https://www.instagram.com/infobts.ina2/,"224,832",Giveaway,Friday,15:00,"5,679","6,131","5,781","6,294",1,1
Total,,,,,,,"37,776","17,459","39,367","17,960",6,4
,,,,,,,"55,235",,"57,327",,10,
,,,,,,,,,,,,
No.,Name,Username,Followers,Content Type,Day Post,Time Post,Reach,,Impressions,,Engagement,
,,,,,,,Story 1,Story 2,Story 1,Story 2,Story 1,Story 2
5,Serba Serbi Kpop,https://www.instagram.com/serbaserbikpop/,"213,910",Giveaway,Tuesday,17:09,"2,231","1,539","2,250","1,562",-,-
6,Kfact ID,https://www.instagram.com/kfact.id/,"119,924",Giveaway,Thursday,18:37,"1,847","1,138","1,882","1,159",-,-
7,Fakta Kpop,https://www.instagram.com/faktakpop/,"117,009",Giveaway,Tuesday,19:39,"1,438","1,306","1,438","1,306",,7
8,Kfeeds ID,https://www.instagram.com/kfeedsid/,"102,163",Giveaway,Tuesday,20:17,"1,233",561,"1,233",573,-,-
Total,,,,,,,"6,749","4,544","6,803","4,600",,7
,,,,,,,"11,293",,"11,403",,7,
,,,,,,,,,,,,
Grand Total,,,"2,631,426",,,,"321,533","347,711","13,064",,,